[{'Vg21': (8, 1), 'Vg22': (7, 1), 'Vg23': (7, 2)}
 {'Vg21': (8, 1), 'Vg22': (8, 2), 'Vg23': (7, 2)}
 {'Vg21': (7, 1), 'Vg22': (8, 1), 'Vg23': (8, 2)}
 {'Vg21': (7, 1), 'Vg22': (6, 1), 'Vg23': (6, 2)}
 {'Vg21': (7, 1), 'Vg22': (7, 2), 'Vg23': (8, 2)}
 {'Vg21': (7, 1), 'Vg22': (7, 2), 'Vg23': (6, 2)}
 {'Vg21': (6, 1), 'Vg22': (7, 1), 'Vg23': (7, 2)}
 {'Vg21': (6, 1), 'Vg22': (5, 1), 'Vg23': (5, 2)}
 {'Vg21': (6, 1), 'Vg22': (6, 2), 'Vg23': (7, 2)}
 {'Vg21': (6, 1), 'Vg22': (6, 2), 'Vg23': (5, 2)}
 {'Vg21': (5, 1), 'Vg22': (6, 1), 'Vg23': (6, 2)}
 {'Vg21': (5, 1), 'Vg22': (4, 1), 'Vg23': (4, 2)}
 {'Vg21': (5, 1), 'Vg22': (5, 2), 'Vg23': (6, 2)}
 {'Vg21': (5, 1), 'Vg22': (5, 2), 'Vg23': (4, 2)}
 {'Vg21': (4, 1), 'Vg22': (5, 1), 'Vg23': (5, 2)}
 {'Vg21': (4, 1), 'Vg22': (3, 1), 'Vg23': (3, 2)}
 {'Vg21': (4, 1), 'Vg22': (4, 2), 'Vg23': (5, 2)}
 {'Vg21': (4, 1), 'Vg22': (4, 2), 'Vg23': (3, 2)}
 {'Vg21': (3, 1), 'Vg22': (4, 1), 'Vg23': (4, 2)}
 {'Vg21': (3, 1), 'Vg22': (2, 1), 'Vg23': (2, 2)}
 {'Vg21': (3, 1), 'Vg22': (3, 2), 'Vg23': (4, 2)}
 {'Vg21': (3, 1), 'Vg22': (3, 2), 'Vg23': (2, 2)}
 {'Vg21': (2, 1), 'Vg22': (3, 1), 'Vg23': (3, 2)}
 {'Vg21': (2, 1), 'Vg22': (1, 1), 'Vg23': (1, 2)}
 {'Vg21': (2, 1), 'Vg22': (2, 2), 'Vg23': (3, 2)}
 {'Vg21': (2, 1), 'Vg22': (2, 2), 'Vg23': (1, 2)}
 {'Vg21': (1, 1), 'Vg22': (2, 1), 'Vg23': (2, 2)}
 {'Vg21': (1, 1), 'Vg22': (1, 2), 'Vg23': (2, 2)}
 {'Vg21': (8, 2), 'Vg22': (8, 1), 'Vg23': (7, 1)}
 {'Vg21': (8, 2), 'Vg22': (7, 2), 'Vg23': (7, 3)}
 {'Vg21': (8, 2), 'Vg22': (7, 2), 'Vg23': (7, 1)}
 {'Vg21': (8, 2), 'Vg22': (8, 3), 'Vg23': (7, 3)}
 {'Vg21': (7, 2), 'Vg22': (7, 1), 'Vg23': (8, 1)}
 {'Vg21': (7, 2), 'Vg22': (7, 1), 'Vg23': (6, 1)}
 {'Vg21': (7, 2), 'Vg22': (8, 2), 'Vg23': (8, 3)}
 {'Vg21': (7, 2), 'Vg22': (8, 2), 'Vg23': (8, 1)}
 {'Vg21': (7, 2), 'Vg22': (6, 2), 'Vg23': (6, 3)}
 {'Vg21': (7, 2), 'Vg22': (6, 2), 'Vg23': (6, 1)}
 {'Vg21': (7, 2), 'Vg22': (7, 3), 'Vg23': (8, 3)}
 {'Vg21': (7, 2), 'Vg22': (7, 3), 'Vg23': (6, 3)}
 {'Vg21': (6, 2), 'Vg22': (6, 1), 'Vg23': (5, 1)}
 {'Vg21': (6, 2), 'Vg22': (6, 1), 'Vg23': (7, 1)}
 {'Vg21': (6, 2), 'Vg22': (7, 2), 'Vg23': (7, 3)}
 {'Vg21': (6, 2), 'Vg22': (7, 2), 'Vg23': (7, 1)}
 {'Vg21': (6, 2), 'Vg22': (5, 2), 'Vg23': (5, 3)}
 {'Vg21': (6, 2), 'Vg22': (5, 2), 'Vg23': (5, 1)}
 {'Vg21': (6, 2), 'Vg22': (6, 3), 'Vg23': (7, 3)}
 {'Vg21': (6, 2), 'Vg22': (6, 3), 'Vg23': (5, 3)}
 {'Vg21': (5, 2), 'Vg22': (5, 1), 'Vg23': (4, 1)}
 {'Vg21': (5, 2), 'Vg22': (5, 1), 'Vg23': (6, 1)}
 {'Vg21': (5, 2), 'Vg22': (6, 2), 'Vg23': (6, 3)}
 {'Vg21': (5, 2), 'Vg22': (6, 2), 'Vg23': (6, 1)}
 {'Vg21': (5, 2), 'Vg22': (4, 2), 'Vg23': (4, 3)}
 {'Vg21': (5, 2), 'Vg22': (4, 2), 'Vg23': (4, 1)}
 {'Vg21': (5, 2), 'Vg22': (5, 3), 'Vg23': (6, 3)}
 {'Vg21': (5, 2), 'Vg22': (5, 3), 'Vg23': (4, 3)}
 {'Vg21': (4, 2), 'Vg22': (4, 1), 'Vg23': (3, 1)}
 {'Vg21': (4, 2), 'Vg22': (4, 1), 'Vg23': (5, 1)}
 {'Vg21': (4, 2), 'Vg22': (5, 2), 'Vg23': (5, 3)}
 {'Vg21': (4, 2), 'Vg22': (5, 2), 'Vg23': (5, 1)}
 {'Vg21': (4, 2), 'Vg22': (3, 2), 'Vg23': (3, 3)}
 {'Vg21': (4, 2), 'Vg22': (3, 2), 'Vg23': (3, 1)}
 {'Vg21': (4, 2), 'Vg22': (4, 3), 'Vg23': (5, 3)}
 {'Vg21': (4, 2), 'Vg22': (4, 3), 'Vg23': (3, 3)}
 {'Vg21': (3, 2), 'Vg22': (3, 1), 'Vg23': (2, 1)}
 {'Vg21': (3, 2), 'Vg22': (3, 1), 'Vg23': (4, 1)}
 {'Vg21': (3, 2), 'Vg22': (4, 2), 'Vg23': (4, 3)}
 {'Vg21': (3, 2), 'Vg22': (4, 2), 'Vg23': (4, 1)}
 {'Vg21': (3, 2), 'Vg22': (2, 2), 'Vg23': (2, 3)}
 {'Vg21': (3, 2), 'Vg22': (2, 2), 'Vg23': (2, 1)}
 {'Vg21': (3, 2), 'Vg22': (3, 3), 'Vg23': (4, 3)}
 {'Vg21': (3, 2), 'Vg22': (3, 3), 'Vg23': (2, 3)}
 {'Vg21': (2, 2), 'Vg22': (2, 1), 'Vg23': (1, 1)}
 {'Vg21': (2, 2), 'Vg22': (2, 1), 'Vg23': (3, 1)}
 {'Vg21': (2, 2), 'Vg22': (3, 2), 'Vg23': (3, 3)}
 {'Vg21': (2, 2), 'Vg22': (3, 2), 'Vg23': (3, 1)}
 {'Vg21': (2, 2), 'Vg22': (1, 2), 'Vg23': (1, 3)}
 {'Vg21': (2, 2), 'Vg22': (1, 2), 'Vg23': (1, 1)}
 {'Vg21': (2, 2), 'Vg22': (2, 3), 'Vg23': (3, 3)}
 {'Vg21': (2, 2), 'Vg22': (2, 3), 'Vg23': (1, 3)}
 {'Vg21': (1, 2), 'Vg22': (1, 1), 'Vg23': (2, 1)}
 {'Vg21': (1, 2), 'Vg22': (2, 2), 'Vg23': (2, 3)}
 {'Vg21': (1, 2), 'Vg22': (2, 2), 'Vg23': (2, 1)}
 {'Vg21': (1, 2), 'Vg22': (1, 3), 'Vg23': (2, 3)}
 {'Vg21': (8, 3), 'Vg22': (8, 2), 'Vg23': (7, 2)}
 {'Vg21': (8, 3), 'Vg22': (7, 3), 'Vg23': (7, 4)}
 {'Vg21': (8, 3), 'Vg22': (7, 3), 'Vg23': (7, 2)}
 {'Vg21': (8, 3), 'Vg22': (8, 4), 'Vg23': (7, 4)}
 {'Vg21': (7, 3), 'Vg22': (7, 2), 'Vg23': (8, 2)}
 {'Vg21': (7, 3), 'Vg22': (7, 2), 'Vg23': (6, 2)}
 {'Vg21': (7, 3), 'Vg22': (8, 3), 'Vg23': (8, 4)}
 {'Vg21': (7, 3), 'Vg22': (8, 3), 'Vg23': (8, 2)}
