[{'Vy21': (8, 1), 'Vy22': (7, 1), 'Vy23': (7, 2), 'Vy24': (6, 2), 'Vy25': (7, 3)}
 {'Vy21': (8, 1), 'Vy22': (8, 2), 'Vy23': (7, 2), 'Vy24': (7, 3), 'Vy25': (6, 2)}
 {'Vy21': (7, 1), 'Vy22': (6, 1), 'Vy23': (6, 2), 'Vy24': (5, 2), 'Vy25': (6, 3)}
 {'Vy21': (7, 1), 'Vy22': (7, 2), 'Vy23': (6, 2), 'Vy24': (6, 3), 'Vy25': (5, 2)}
 {'Vy21': (6, 1), 'Vy22': (7, 1), 'Vy23': (7, 2), 'Vy24': (8, 2), 'Vy25': (7, 3)}
 {'Vy21': (6, 1), 'Vy22': (5, 1), 'Vy23': (5, 2), 'Vy24': (4, 2), 'Vy25': (5, 3)}
 {'Vy21': (6, 1), 'Vy22': (6, 2), 'Vy23': (7, 2), 'Vy24': (7, 3), 'Vy25': (8, 2)}
 {'Vy21': (6, 1), 'Vy22': (6, 2), 'Vy23': (5, 2), 'Vy24': (5, 3), 'Vy25': (4, 2)}
 {'Vy21': (5, 1), 'Vy22': (6, 1), 'Vy23': (6, 2), 'Vy24': (7, 2), 'Vy25': (6, 3)}
 {'Vy21': (5, 1), 'Vy22': (4, 1), 'Vy23': (4, 2), 'Vy24': (3, 2), 'Vy25': (4, 3)}
 {'Vy21': (5, 1), 'Vy22': (5, 2), 'Vy23': (6, 2), 'Vy24': (6, 3), 'Vy25': (7, 2)}
 {'Vy21': (5, 1), 'Vy22': (5, 2), 'Vy23': (4, 2), 'Vy24': (4, 3), 'Vy25': (3, 2)}
 {'Vy21': (4, 1), 'Vy22': (5, 1), 'Vy23': (5, 2), 'Vy24': (6, 2), 'Vy25': (5, 3)}
 {'Vy21': (4, 1), 'Vy22': (3, 1), 'Vy23': (3, 2), 'Vy24': (2, 2), 'Vy25': (3, 3)}
 {'Vy21': (4, 1), 'Vy22': (4, 2), 'Vy23': (5, 2), 'Vy24': (5, 3), 'Vy25': (6, 2)}
 {'Vy21': (4, 1), 'Vy22': (4, 2), 'Vy23': (3, 2), 'Vy24': (3, 3), 'Vy25': (2, 2)}
 {'Vy21': (3, 1), 'Vy22': (4, 1), 'Vy23': (4, 2), 'Vy24': (5, 2), 'Vy25': (4, 3)}
 {'Vy21': (3, 1), 'Vy22': (2, 1), 'Vy23': (2, 2), 'Vy24': (1, 2), 'Vy25': (2, 3)}
 {'Vy21': (3, 1), 'Vy22': (3, 2), 'Vy23': (4, 2), 'Vy24': (4, 3), 'Vy25': (5, 2)}
 {'Vy21': (3, 1), 'Vy22': (3, 2), 'Vy23': (2, 2), 'Vy24': (2, 3), 'Vy25': (1, 2)}
 {'Vy21': (2, 1), 'Vy22': (3, 1), 'Vy23': (3, 2), 'Vy24': (4, 2), 'Vy25': (3, 3)}
 {'Vy21': (2, 1), 'Vy22': (2, 2), 'Vy23': (3, 2), 'Vy24': (3, 3), 'Vy25': (4, 2)}
 {'Vy21': (1, 1), 'Vy22': (2, 1), 'Vy23': (2, 2), 'Vy24': (3, 2), 'Vy25': (2, 3)}
 {'Vy21': (1, 1), 'Vy22': (1, 2), 'Vy23': (2, 2), 'Vy24': (2, 3), 'Vy25': (3, 2)}
 {'Vy21': (8, 2), 'Vy22': (7, 2), 'Vy23': (7, 3), 'Vy24': (6, 3), 'Vy25': (7, 4)}
 {'Vy21': (8, 2), 'Vy22': (8, 3), 'Vy23': (7, 3), 'Vy24': (7, 4), 'Vy25': (6, 3)}
 {'Vy21': (7, 2), 'Vy22': (6, 2), 'Vy23': (6, 3), 'Vy24': (5, 3), 'Vy25': (6, 4)}
 {'Vy21': (7, 2), 'Vy22': (7, 3), 'Vy23': (6, 3), 'Vy24': (6, 4), 'Vy25': (5, 3)}
 {'Vy21': (6, 2), 'Vy22': (7, 2), 'Vy23': (7, 3), 'Vy24': (8, 3), 'Vy25': (7, 4)}
 {'Vy21': (6, 2), 'Vy22': (5, 2), 'Vy23': (5, 3), 'Vy24': (4, 3), 'Vy25': (5, 4)}
 {'Vy21': (6, 2), 'Vy22': (6, 3), 'Vy23': (7, 3), 'Vy24': (7, 4), 'Vy25': (8, 3)}
 {'Vy21': (6, 2), 'Vy22': (6, 3), 'Vy23': (5, 3), 'Vy24': (5, 4), 'Vy25': (4, 3)}
 {'Vy21': (5, 2), 'Vy22': (6, 2), 'Vy23': (6, 3), 'Vy24': (7, 3), 'Vy25': (6, 4)}
 {'Vy21': (5, 2), 'Vy22': (4, 2), 'Vy23': (4, 3), 'Vy24': (3, 3), 'Vy25': (4, 4)}
 {'Vy21': (5, 2), 'Vy22': (5, 3), 'Vy23': (6, 3), 'Vy24': (6, 4), 'Vy25': (7, 3)}
 {'Vy21': (5, 2), 'Vy22': (5, 3), 'Vy23': (4, 3), 'Vy24': (4, 4), 'Vy25': (3, 3)}
 {'Vy21': (4, 2), 'Vy22': (5, 2), 'Vy23': (5, 3), 'Vy24': (6, 3), 'Vy25': (5, 4)}
 {'Vy21': (4, 2), 'Vy22': (3, 2), 'Vy23': (3, 3), 'Vy24': (2, 3), 'Vy25': (3, 4)}
 {'Vy21': (4, 2), 'Vy22': (4, 3), 'Vy23': (5, 3), 'Vy24': (5, 4), 'Vy25': (6, 3)}
 {'Vy21': (4, 2), 'Vy22': (4, 3), 'Vy23': (3, 3), 'Vy24': (3, 4), 'Vy25': (2, 3)}
 {'Vy21': (3, 2), 'Vy22': (4, 2), 'Vy23': (4, 3), 'Vy24': (5, 3), 'Vy25': (4, 4)}
 {'Vy21': (3, 2), 'Vy22': (2, 2), 'Vy23': (2, 3), 'Vy24': (1, 3), 'Vy25': (2, 4)}
 {'Vy21': (3, 2), 'Vy22': (3, 3), 'Vy23': (4, 3), 'Vy24': (4, 4), 'Vy25': (5, 3)}
 {'Vy21': (3, 2), 'Vy22': (3, 3), 'Vy23': (2, 3), 'Vy24': (2, 4), 'Vy25': (1, 3)}
 {'Vy21': (2, 2), 'Vy22': (3, 2), 'Vy23': (3, 3), 'Vy24': (4, 3), 'Vy25': (3, 4)}
 {'Vy21': (2, 2), 'Vy22': (2, 3), 'Vy23': (3, 3), 'Vy24': (3, 4), 'Vy25': (4, 3)}
 {'Vy21': (1, 2), 'Vy22': (2, 2), 'Vy23': (2, 3), 'Vy24': (3, 3), 'Vy25': (2, 4)}
 {'Vy21': (1, 2), 'Vy22': (1, 3), 'Vy23': (2, 3), 'Vy24': (2, 4), 'Vy25': (3, 3)}
 {'Vy21': (8, 3), 'Vy22': (8, 2), 'Vy23': (7, 2), 'Vy24': (7, 1), 'Vy25': (6, 2)}
 {'Vy21': (8, 3), 'Vy22': (7, 3), 'Vy23': (7, 2), 'Vy24': (6, 2), 'Vy25': (7, 1)}
 {'Vy21': (7, 3), 'Vy22': (7, 2), 'Vy23': (6, 2), 'Vy24': (6, 1), 'Vy25': (5, 2)}
 {'Vy21': (7, 3), 'Vy22': (6, 3), 'Vy23': (6, 2), 'Vy24': (5, 2), 'Vy25': (6, 1)}
 {'Vy21': (6, 3), 'Vy22': (6, 2), 'Vy23': (7, 2), 'Vy24': (7, 1), 'Vy25': (8, 2)}
 {'Vy21': (6, 3), 'Vy22': (6, 2), 'Vy23': (5, 2), 'Vy24': (5, 1), 'Vy25': (4, 2)}
 {'Vy21': (6, 3), 'Vy22': (7, 3), 'Vy23': (7, 2), 'Vy24': (8, 2), 'Vy25': (7, 1)}
 {'Vy21': (6, 3), 'Vy22': (5, 3), 'Vy23': (5, 2), 'Vy24': (4, 2), 'Vy25': (5, 1)}
 {'Vy21': (5, 3), 'Vy22': (5, 2), 'Vy23': (6, 2), 'Vy24': (6, 1), 'Vy25': (7, 2)}
 {'Vy21': (5, 3), 'Vy22': (5, 2), 'Vy23': (4, 2), 'Vy24': (4, 1), 'Vy25': (3, 2)}
 {'Vy21': (5, 3), 'Vy22': (6, 3), 'Vy23': (6, 2), 'Vy24': (7, 2), 'Vy25': (6, 1)}
 {'Vy21': (5, 3), 'Vy22': (4, 3), 'Vy23': (4, 2), 'Vy24': (3, 2), 'Vy25': (4, 1)}
 {'Vy21': (4, 3), 'Vy22': (4, 2), 'Vy23': (5, 2), 'Vy24': (5, 1), 'Vy25': (6, 2)}
 {'Vy21': (4, 3), 'Vy22': (4, 2), 'Vy23': (3, 2), 'Vy24': (3, 1), 'Vy25': (2, 2)}
 {'Vy21': (4, 3), 'Vy22': (5, 3), 'Vy23': (5, 2), 'Vy24': (6, 2), 'Vy25': (5, 1)}
 {'Vy21': (4, 3), 'Vy22': (3, 3), 'Vy23': (3, 2), 'Vy24': (2, 2), 'Vy25': (3, 1)}
 {'Vy21': (3, 3), 'Vy22': (3, 2), 'Vy23': (4, 2), 'Vy24': (4, 1), 'Vy25': (5, 2)}
 {'Vy21': (3, 3), 'Vy22': (3, 2), 'Vy23': (2, 2), 'Vy24': (2, 1), 'Vy25': (1, 2)}
 {'Vy21': (3, 3), 'Vy22': (4, 3), 'Vy23': (4, 2), 'Vy24': (5, 2), 'Vy25': (4, 1)}
 {'Vy21': (3, 3), 'Vy22': (2, 3), 'Vy23': (2, 2), 'Vy24': (1, 2), 'Vy25': (2, 1)}
 {'Vy21': (2, 3), 'Vy22': (2, 2), 'Vy23': (3, 2), 'Vy24': (3, 1), 'Vy25': (4, 2)}
 {'Vy21': (2, 3), 'Vy22': (3, 3), 'Vy23': (3, 2), 'Vy24': (4, 2), 'Vy25': (3, 1)}
 {'Vy21': (1, 3), 'Vy22': (1, 2), 'Vy23': (2, 2), 'Vy24': (2, 1), 'Vy25': (3, 2)}
 {'Vy21': (1, 3), 'Vy22': (2, 3), 'Vy23': (2, 2), 'Vy24': (3, 2), 'Vy25': (2, 1)}
 {'Vy21': (8, 4), 'Vy22': (8, 3), 'Vy23': (7, 3), 'Vy24': (7, 2), 'Vy25': (6, 3)}
 {'Vy21': (8, 4), 'Vy22': (7, 4), 'Vy23': (7, 3), 'Vy24': (6, 3), 'Vy25': (7, 2)}
 {'Vy21': (7, 4), 'Vy22': (7, 3), 'Vy23': (6, 3), 'Vy24': (6, 2), 'Vy25': (5, 3)}
 {'Vy21': (7, 4), 'Vy22': (6, 4), 'Vy23': (6, 3), 'Vy24': (5, 3), 'Vy25': (6, 2)}
 {'Vy21': (6, 4), 'Vy22': (6, 3), 'Vy23': (7, 3), 'Vy24': (7, 2), 'Vy25': (8, 3)}
 {'Vy21': (6, 4), 'Vy22': (6, 3), 'Vy23': (5, 3), 'Vy24': (5, 2), 'Vy25': (4, 3)}
 {'Vy21': (6, 4), 'Vy22': (7, 4), 'Vy23': (7, 3), 'Vy24': (8, 3), 'Vy25': (7, 2)}
 {'Vy21': (6, 4), 'Vy22': (5, 4), 'Vy23': (5, 3), 'Vy24': (4, 3), 'Vy25': (5, 2)}
 {'Vy21': (5, 4), 'Vy22': (5, 3), 'Vy23': (6, 3), 'Vy24': (6, 2), 'Vy25': (7, 3)}
 {'Vy21': (5, 4), 'Vy22': (5, 3), 'Vy23': (4, 3), 'Vy24': (4, 2), 'Vy25': (3, 3)}
 {'Vy21': (5, 4), 'Vy22': (6, 4), 'Vy23': (6, 3), 'Vy24': (7, 3), 'Vy25': (6, 2)}
 {'Vy21': (5, 4), 'Vy22': (4, 4), 'Vy23': (4, 3), 'Vy24': (3, 3), 'Vy25': (4, 2)}
 {'Vy21': (4, 4), 'Vy22': (4, 3), 'Vy23': (5, 3), 'Vy24': (5, 2), 'Vy25': (6, 3)}
 {'Vy21': (4, 4), 'Vy22': (4, 3), 'Vy23': (3, 3), 'Vy24': (3, 2), 'Vy25': (2, 3)}
 {'Vy21': (4, 4), 'Vy22': (5, 4), 'Vy23': (5, 3), 'Vy24': (6, 3), 'Vy25': (5, 2)}
 {'Vy21': (4, 4), 'Vy22': (3, 4), 'Vy23': (3, 3), 'Vy24': (2, 3), 'Vy25': (3, 2)}
 {'Vy21': (3, 4), 'Vy22': (3, 3), 'Vy23': (4, 3), 'Vy24': (4, 2), 'Vy25': (5, 3)}
 {'Vy21': (3, 4), 'Vy22': (3, 3), 'Vy23': (2, 3), 'Vy24': (2, 2), 'Vy25': (1, 3)}
 {'Vy21': (3, 4), 'Vy22': (4, 4), 'Vy23': (4, 3), 'Vy24': (5, 3), 'Vy25': (4, 2)}
 {'Vy21': (3, 4), 'Vy22': (2, 4), 'Vy23': (2, 3), 'Vy24': (1, 3), 'Vy25': (2, 2)}
 {'Vy21': (2, 4), 'Vy22': (2, 3), 'Vy23': (3, 3), 'Vy24': (3, 2), 'Vy25': (4, 3)}
 {'Vy21': (2, 4), 'Vy22': (3, 4), 'Vy23': (3, 3), 'Vy24': (4, 3), 'Vy25': (3, 2)}
 {'Vy21': (1, 4), 'Vy22': (1, 3), 'Vy23': (2, 3), 'Vy24': (2, 2), 'Vy25': (3, 3)}
 {'Vy21': (1, 4), 'Vy22': (2, 4), 'Vy23': (2, 3), 'Vy24': (3, 3), 'Vy25': (2, 2)}]
time:0:01:21.436082
